source,target,n
1,33,10
23,641,2
1,51,2
50,57,3
40,58,11
50,59,3
20,97,4
49,97,2
59,97,2
113,120,3
113,121,6
63,141,3
20,144,2
59,144,2
20,126,2
20,149,4
26,153,4
43,154,3
20,162,2
59,162,12
126,163,4
20,164,2
149,164,2
159,170,3
169,171,3
414,1761,2
119,185,2
414,197,2
164,198,2
27,207,2
57,207,2
121,214,2
131,230,5
59,232,10
153,232,2
217,238,3
1,242,4
1761,247,3
178,249,2
146,252,2
192,264,2
252,290,2
244,303,2
296,311,2
285,312,2
38,318,4
113,318,2
50,320,3
57,320,8
63,324,3
141,324,3
285,349,2
312,349,2
181,356,2
121,359,6
199,378,2
119,556,2
185,556,2
551,564,2
113,573,2
12,575,2
62,576,3
136,589,4
318,589,10
593,387,31
46,401,4
192,405,3
264,405,3
414,1887,2
97,416,3
336,436,3
423,436,2
113,452,2
318,452,4
20,439,2
1,463,2
22,463,4
57,463,4
318,463,4
336,463,3
423,463,2
436,463,4
434,465,2
593,466,9
387,466,2
330,469,2
337,478,3
111,482,2
58,487,2
170,490,2
50,493,2
117,495,2
585,496,2
179,503,2
585,505,2
496,505,2
551,507,2
551,520,2
564,520,2
269,532,4
13,533,5
78,533,2
68,537,4
252,537,3
568,538,2
58,914,7
1761,914,2
61,921,3
917,923,2
244,926,2
303,926,2
341,931,2
914,962,2
144,964,2
131,973,4
159,973,3
170,973,3
230,973,4
318,973,2
337,973,5
452,973,2
463,973,2
26,939,2
304,975,4
545,975,5
437,975,3
968,975,3
475,978,2
968,978,2
47,982,8
1,994,2
20,994,9
26,994,10
38,994,4
50,994,8
57,994,24
58,994,3
59,994,16
66,994,16
97,994,5
118,994,5
126,994,6
149,994,3
153,994,6
162,994,5
221,994,2
232,994,7
318,994,5
330,994,6
416,994,5
439,994,5
463,994,4
493,994,4
973,994,3
989,994,3
46,997,2
401,997,6
962,998,2
288,1015,2
1015,1016,3
248,1017,2
320,1022,2
195,1026,2
39,2227,2
41,1027,3
312,1030,2
352,19,2
336,1038,2
436,1038,2
463,1038,2
173,1043,2
589,1045,3
118,1046,2
285,1049,2
312,1049,2
349,1049,2
21,1057,2
551,1061,2
507,1061,2
1,1062,25
33,1062,8
51,1062,3
149,1062,2
914,1062,2
1021,1064,2
320,1071,2
1022,1071,2
47,1074,4
982,1074,4
44,1075,2
994,1075,2
442,1077,3
240,1084,2
329,1084,3
416,1089,2
400,1130,2
113,1131,12
573,1131,4
519,1134,3
940,1134,2
1078,1143,3
414,1144,4
197,1144,3
1887,1144,2
499,1145,2
1131,1153,8
1018,1154,2
223,1155,6
1078,1156,2
1143,1156,2
19,1167,2
1072,1168,2
1126,1168,3
64,1181,2
1004,1181,2
414,1182,2
1761,1182,2
1163,1148,2
157,1190,5
78,1193,2
534,1193,2
21,1197,2
1057,1197,2
21,1201,2
1057,1201,2
1197,1201,2
121,1206,2
214,1206,3
223,1206,4
318,1206,2
463,1206,10
973,1206,3
994,1206,2
1155,1206,4
538,1207,2
58,1208,5
914,1208,2
914,1209,2
104,1215,2
58,1216,2
414,1216,6
1761,1216,5
194,1216,2
197,1216,2
247,1216,3
1887,1216,5
914,1216,6
994,1216,4
1144,1216,6
1182,1216,2
937,1217,2
266,1218,2
32,1343,2
117,1343,4
78,1231,3
179,1238,2
503,1238,2
1015,1238,4
1016,1238,3
314,1245,4
41,1259,5
1027,1259,5
337,1262,5
